0	0       0  
0.2	0.2027  0.2027
0.4	0.4227  0.4227
0.6	0.6841  0.6841
0.8	1.0296  1.0296
1.0	1.5574  1.5574
1.2	2.5721  2.5721
1.4	5.7970  5.7978
1.6	-34.2324        -34.2335   
1.8	-4.2862         -4.2862
2.0	-2.1850         -2.1850
2.2	-1.3738         -1.3738
2.4	-0.9160         -0.9160
2.6	-0.6015         -0.6015
2.8	-0.3555         -0.3555
3.0	-0.1425         -0.1425
